E: [-2, 2]; rho* = 0.2, T = 22.5, N = 100, out of bounds = 2
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
-1e+08
